compound,Azt,Los,Nib,Quine,Vir,sars,nas
Broad-Sai-045,NA,NA,NA,0.777,0.3443,-0.368,3
CHEMBL2002074,NA,NA,NA,0.6809,0.3604,-0.6061,3
Diethylcarbamazine,NA,NA,NA,0.5568,0.5361,-0.3389,3
Famotidine,NA,NA,NA,0.5038,0.3303,-0.3418,3
Fenofibrate,NA,NA,NA,0.5727,0.3675,-0.3484,3
Flufenamic acid,NA,NA,NA,0.5696,0.4596,-0.5301,3
Formoterol,NA,NA,NA,0.5256,0.3212,-0.4969,3
Hesperidin,NA,NA,NA,0.5265,0.3387,-0.3466,3
Imiloxan,NA,NA,NA,0.4888,0.4148,-0.3349,3
IN1541,NA,NA,NA,0.4125,0.3428,-0.5265,3
Metaxalone,NA,NA,NA,0.4826,0.3322,-0.3873,3
Methazolamide,NA,NA,NA,0.5132,0.4233,-0.584,3
MK-8245,NA,NA,NA,0.4254,0.3538,-0.3564,3
MR-16728,NA,NA,NA,0.4772,0.4288,-0.3827,3
PENICILLIN V POTASSIUM,NA,NA,NA,0.4484,0.3262,-0.3395,3
phylloquinone,NA,NA,NA,0.5975,0.3789,-0.4802,3
PJ34,NA,NA,NA,0.5945,0.3724,-0.3405,3
PLX-4720,NA,NA,NA,0.6327,0.5043,-0.3405,3
rifampicin,NA,NA,NA,0.4869,0.4737,-0.3944,3
Rigosertib,NA,NA,NA,0.4747,0.5375,-0.3702,3
Siguazodan,NA,NA,NA,0.4964,0.4868,-0.5782,3
STK205557,NA,NA,NA,0.4373,0.3802,-0.3434,3
Telbivudine,NA,NA,NA,0.4561,0.4056,-0.3375,3
