compound,los,nib,quine,vir,similarity,meansim,nas
AC1LS3SF,0.3911,NA,0.5299,0.4232,-0.5027,0.44806666666666667,1
MLS000562366,0.391,NA,0.493,NA,-0.4314,0.442,2
BRD-K24133356,0.3902,NA,0.3619,NA,-0.5045,0.37605,2
N-Butyldeoxynojirmycin HCL,0.3901,NA,0.5046,0.3551,-0.6521,0.4166,1
BRD-K49669601,0.3899,NA,0.3257,NA,-0.4612,0.3578,2
SCHEMBL17497838,0.3899,NA,0.5171,0.4282,-0.4714,0.44506666666666667,1
Vismodegib (GDC-0449),0.3898,NA,0.4129,NA,-0.4261,0.40135,2
Thioguanosine,0.3897,NA,NA,0.4554,-0.3329,0.42255,2
Propantheline,0.3897,NA,0.4024,0.3855,-0.4377,0.39253333333333335,1
Venlafaxine,0.3892,NA,0.4128,0.4285,-0.4499,0.4101666666666667,1
CID 6167421,0.3889,0.3423,0.4133,0.3531,-0.3241,0.3744,0
BRD-K63947990,0.3889,NA,NA,0.3571,-0.5271,0.373,2
MLS-0437131.0001,0.3886,NA,0.366,NA,-0.5247,0.37729999999999997,2
Rathyronine,0.3886,NA,0.3755,NA,-0.5118,0.38205,2
AC1O7M2R,0.3878,NA,0.3337,0.3501,-0.3261,0.3572,1
BRD-K43194109,0.3877,NA,0.3947,0.321,-0.4683,0.3678,1
Linagliptin,0.3872,NA,NA,0.3616,-0.4258,0.37439999999999996,2
Marmesin,0.3871,NA,0.5514,NA,-0.676,0.46925,2
Cevimeline hydrochloride,0.387,0.4446,NA,0.3517,-0.4876,0.39443333333333336,1
BRD-K33780441,0.3867,NA,0.3247,NA,-0.333,0.3557,2
BRD-K62638625,0.3867,NA,0.4807,0.4083,-0.512,0.42523333333333335,1
"5-{[3-(Dimethylamino)propyl]amino}-2-(2-fluorophenyl)-1,3-oxazole-4-carbonitrile",0.3865,NA,0.424,NA,-0.4575,0.40525,2
Benfluorex,0.3863,NA,NA,0.3521,-0.4316,0.3692,2
BRD-K57678861,0.3863,NA,0.4215,NA,-0.4971,0.4039,2
Isocycloheximide,0.386,NA,0.3915,NA,-0.3615,0.38875000000000004,2
MLS-0390943.0001,0.3859,NA,0.4508,NA,-0.5875,0.41835,2
BRD-K98716460,0.3857,NA,0.4338,NA,-0.5363,0.40975,2
BRD-K22862802,0.3856,NA,0.5095,NA,-0.4302,0.44755,2
BRD-K96157570,0.3855,NA,0.5611,NA,-0.4154,0.47330000000000005,2
KI-16425,0.3855,NA,0.5357,0.363,-0.4122,0.42806666666666665,1
GDC-0834 (Racemate),0.385,NA,0.5572,0.4639,-0.5295,0.4687,1
"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",0.3848,NA,0.3609,0.3907,-0.5914,0.37879999999999997,1
Alprazolam,0.3844,0.3317,0.441,NA,-0.414,0.3857,1
CHEMBL2152368,0.3839,NA,NA,0.3508,-0.4434,0.36735,2
BDBM29595,0.3835,NA,NA,0.411,-0.3884,0.39725,2
Canrenoate,0.3834,NA,0.4805,0.4182,-0.4786,0.4273666666666667,1
GAP-134 (Hydrochloride),0.3834,NA,0.4849,0.4447,-0.5079,0.43766666666666665,1
BRD-K10609180,0.3831,NA,0.4146,NA,-0.3236,0.39885000000000004,2
(+)-Timolol,0.3828,NA,0.3348,NA,-0.322,0.3588,2
Evodiamine,0.3828,0.3614,0.4892,NA,-0.4912,0.41113333333333335,1
ALD1-H_000553,0.3828,NA,0.407,0.3926,-0.448,0.39413333333333334,1
IN1541,0.3827,NA,0.4971,0.3721,-0.5747,0.4173,1
MLS000081884,0.3827,0.3565,0.4482,0.4349,-0.4166,0.405575,0
CHEMBL2356381,0.3825,0.5824,0.4085,0.4337,-0.3812,0.451775,0
Temozolomide,0.3824,NA,0.4265,0.4961,-0.4193,0.435,1
PD153035 (Hydrochloride),0.3824,NA,0.4828,0.5494,-0.3718,0.47153333333333336,1
BRD-K95208083,0.3823,NA,NA,0.3918,-0.5203,0.38705,2
LXR-623,0.3821,0.5236,0.4932,NA,-0.4716,0.4663,1
MEGXM0_000032,0.3809,NA,0.5106,0.3214,-0.4098,0.40430000000000005,1
WH-4-023,0.3809,0.4571,0.3306,NA,-0.3384,0.38953333333333334,1
EX527,0.3809,NA,NA,0.6274,-0.8211,0.50415,2
Rifampicin,0.3807,NA,0.4693,NA,-0.5236,0.425,2
AC1NWAKU,0.3807,NA,0.4136,0.3802,-0.4845,0.3915,1
BRD-K61683215,0.3802,NA,0.5082,0.409,-0.5575,0.43246666666666667,1
Felbamate,0.3801,NA,0.4405,0.4505,-0.4252,0.4237,1
NSC667463,0.38,NA,0.4881,NA,-0.4199,0.43405,2
Thiotepa,0.3794,0.3525,0.4454,NA,-0.4178,0.39243333333333336,1
BRD-K16930585,0.3794,NA,0.3829,NA,-0.5427,0.38115,2
Arglabin,0.3794,NA,0.3815,NA,-0.4606,0.38045,2
Merck-Ketone,0.3792,NA,0.3806,0.4605,-0.3229,0.40676666666666667,1
Aniracetam,0.3789,NA,0.6746,0.4556,-0.5962,0.5030333333333333,1
Levocetirizine,0.3787,NA,0.5115,0.3504,-0.6229,0.4135333333333333,1
STK054715,0.3785,NA,0.4599,NA,-0.4366,0.4192,2
Androstanol,0.3785,NA,0.3893,NA,-0.4835,0.3839,2
Thiocolchicoside,0.3784,NA,0.4562,0.3475,-0.5227,0.39403333333333335,1
BRD-K22052171,0.3782,NA,0.4402,0.3535,-0.3656,0.39063333333333333,1
KBIO2_003002,0.3781,NA,0.5901,0.3332,-0.3441,0.43379999999999996,1
SPECTRUM3_001992,0.378,0.3468,0.4291,0.4294,-0.4464,0.395825,0
Otenabant,0.3779,NA,NA,0.3947,-0.5218,0.3863,2
BRD-K24656059,0.3779,NA,0.3807,0.3406,-0.4234,0.3664,1
BRD-K88990907,0.3778,NA,0.3377,NA,-0.3289,0.35775,2
T 98475,0.3774,0.591,0.3825,0.4067,-0.427,0.4394,0
MLS002232309,0.377,0.5671,NA,NA,-0.4745,0.47205,2
BRD-K11088254,0.3763,NA,0.4393,0.3631,-0.736,0.3929,1
BRD-K40476324-001-01-6,0.3762,NA,0.4344,NA,-0.4442,0.4053,2
Letrozole,0.3761,NA,0.451,NA,-0.4675,0.41355,2
Purmorphamine,0.376,NA,0.4504,0.3776,-0.5238,0.4013333333333333,1
BRD-K14091022,0.376,NA,0.3811,NA,-0.6015,0.37855,2
PRX-08066 Maleic acid,0.3758,NA,0.4129,NA,-0.4241,0.39435,2
BRD-K19436903,0.3752,NA,0.4862,0.3345,-0.5359,0.39863333333333334,1
CID 45259133,0.3751,NA,0.5747,NA,-0.4159,0.4749,2
CHEMBL2132717,0.375,0.4105,0.4886,NA,-0.3555,0.42469999999999997,1
Hoechst 33258,0.375,NA,0.4837,0.4628,-0.4027,0.4405,1
Aristolochic acid,0.375,NA,0.5232,NA,-0.5089,0.4491,2
AC1NPD0F,0.3749,NA,NA,0.3755,-0.4382,0.3752,2
Metolazone,0.3748,NA,NA,0.3616,-0.5001,0.36819999999999997,2
Fatostatin,0.3745,NA,0.4747,0.3384,-0.4165,0.39586666666666664,1
Hydrastinine,0.3744,NA,0.3677,0.4316,-0.5583,0.3912333333333333,1
MAYBRIDGE4_003950,0.3743,NA,0.3896,0.4642,-0.4856,0.40936666666666666,1
Amperozide,0.3741,NA,0.3691,0.3319,-0.4369,0.35836666666666667,1
Tacrolimus,0.3741,NA,0.4513,0.4052,-0.677,0.4102,1
BRD-K25362512,0.374,NA,0.5213,NA,-0.5444,0.44765,2
BRD-K48036219,0.3737,NA,0.3692,NA,-0.4168,0.37144999999999995,2
BRD-K10916986-001-01-6,0.3734,0.33,0.4794,NA,-0.3253,0.39426666666666665,1
AC1N92C7,0.3729,NA,0.3974,0.3814,-0.4461,0.3839,1
BRD-K88278225,0.3729,NA,0.4304,0.4224,-0.5612,0.4085666666666667,1
SA-1938862,0.3724,NA,0.3961,0.3322,-0.4942,0.3669,1
BRD-A72596465,0.3723,0.3243,0.5721,0.561,-0.4233,0.457425,0
Odq,0.3723,0.3747,NA,0.3749,-0.6258,0.37396666666666667,1
CHEMBL2141840,0.372,NA,0.4321,0.3611,-0.3806,0.38839999999999997,1
8-Methoxymethyl-ibmx,0.372,NA,0.4009,0.3685,-0.453,0.3804666666666667,1
Lenvatinib (E7080),0.3719,NA,0.4479,0.4263,-0.4251,0.41536666666666666,1
MLS001060771,0.3717,NA,0.4839,0.4852,-0.4099,0.44693333333333335,1
BRD-K22253301,0.3716,NA,NA,0.3396,-0.4305,0.3556,2
CHEMBL2381520,0.3714,NA,0.4953,0.4962,-0.4343,0.4543,1
Thioguanine,0.3713,NA,0.4363,0.3747,-0.3255,0.3941,1
SB-202190,0.3711,0.3644,0.5344,0.3655,-0.483,0.40885,0
MLS002699429,0.371,NA,0.5858,0.4476,-0.4374,0.46813333333333335,1
Cisaprida,0.3706,NA,NA,0.3546,-0.5072,0.36260000000000003,2
Sufentanil,0.3705,NA,NA,0.3578,-0.4144,0.36415,2
Betaxolol,0.3705,NA,0.4382,0.464,-0.8113,0.42423333333333335,1
Clioquinol,0.3705,NA,NA,0.5699,-0.6951,0.47019999999999995,2
BRD-K49014970,0.3692,NA,NA,0.3492,-0.6758,0.35919999999999996,2
Setiptiline,0.3692,NA,0.4331,0.366,-0.4558,0.3894333333333333,1
AZD1152,0.3691,0.3704,NA,0.3279,-0.4224,0.3558,1
Dexamethasone,0.3686,0.3568,0.3757,0.5328,-0.5248,0.40847500000000003,0
BRD-K87536251,0.3675,NA,NA,0.37,-0.3549,0.36875,2
CHEMDIV3_001232,0.3669,NA,0.5344,0.358,-0.4401,0.4197666666666667,1
Leu-Enkephalin,0.3666,NA,0.4329,0.375,-0.4399,0.3915,1
AG490,0.3665,0.3967,0.3689,0.3783,-0.4738,0.3776,0
CHEMBL599255,0.3663,NA,NA,0.4536,-0.339,0.40995000000000004,2
Lidocaine,0.3658,NA,0.5232,0.3479,-0.4871,0.4123,1
BRD-K67090983,0.3658,0.3373,NA,0.3529,-0.3983,0.352,1
Lypressin,0.3653,NA,0.3807,NA,-0.3632,0.373,2
XMD-132,0.3649,NA,0.4325,NA,-0.4976,0.3987,2
AC1O52XK,0.3648,NA,0.4384,0.4012,-0.4454,0.4014666666666667,1
STK151112,0.3646,NA,NA,0.3581,-0.414,0.36134999999999995,2
BRD-K64930062,0.3646,NA,0.4109,0.4029,-0.4409,0.3928,1
BRD-K14833463,0.3645,NA,0.324,0.4159,-0.5494,0.3681333333333333,1
Thiorphan,0.3642,NA,0.4499,0.3421,-0.5175,0.3854,1
AC1NWALX,0.3639,NA,0.3822,NA,-0.4286,0.37305,2
SCHEMBL2608041,0.3637,0.3363,0.4598,0.4061,-0.5389,0.391475,0
Isoniazid,0.3633,0.4892,0.4164,NA,-0.4671,0.42296666666666666,1
"N-{3-[(4-methoxyphenyl)amino]-1,4-dioxo-1,4-dihydronaphthalen-2-yl}acetamide",0.3632,NA,NA,0.3719,-0.4345,0.36755000000000004,2
Etanidazole,0.3629,NA,0.5946,0.4154,-0.4089,0.45763333333333334,1
BRD-K98832591,0.3626,0.3278,NA,NA,-0.5791,0.34519999999999995,2
Protionamide,0.3625,NA,0.364,0.3865,-0.3233,0.371,1
MLS003129486,0.3624,NA,0.3901,NA,-0.3241,0.37625,2
CHEMBL2142684,0.3616,NA,0.542,0.3615,-0.4104,0.4217,1
CHEMBL3186197,0.3611,NA,0.4061,0.4421,-0.4349,0.4031,1
VX-11E,0.361,NA,0.5831,0.3941,-0.448,0.44606666666666667,1
CHEMBL2131904,0.3605,NA,0.4092,NA,-0.4286,0.38485,2
Tonabersat,0.3603,NA,NA,0.3817,-0.4633,0.371,2
MLS001207806,0.3602,0.5016,0.4529,NA,-0.5669,0.43823333333333336,1
Pyrvinium pamoate,0.3599,NA,0.5451,NA,-0.3586,0.4525,2
BRD-K81927853,0.3598,NA,0.4666,NA,-0.435,0.4132,2
BRD-K33676730,0.3597,0.3611,0.4287,0.3939,-0.4823,0.38585,0
BRD-K39647256,0.3595,0.3895,0.419,0.3352,-0.3311,0.3758,0
CHEMBL2143784,0.3594,0.3744,NA,NA,-0.5733,0.3669,2
UNC-0321,0.3591,NA,0.4033,0.4424,-0.6619,0.4016,1
MEGXP0_000831,0.359,NA,NA,0.3862,-0.4175,0.3726,2
Megestrol,0.3589,0.3992,NA,NA,-0.4228,0.37905,2
"3,4-Dimethoxyphenethylamine",0.3588,NA,0.5103,NA,-0.5755,0.43455,2
BRD-K61779668,0.3585,NA,0.4453,NA,-0.3428,0.4019,2
BRD-K64622657,0.3582,NA,NA,0.3634,-0.5184,0.3608,2
SPECTRUM5_002023,0.3578,0.3667,NA,NA,-0.3579,0.36225,2
ALD1-H_001128,0.3577,NA,0.3808,NA,-0.4274,0.36925,2
BRD-K50368246,0.3576,NA,NA,0.4255,-0.538,0.39154999999999995,2
BRD-K38519699,0.3575,NA,0.3613,0.3833,-0.4122,0.3673666666666667,1
Donitriptan hydrochloride,0.3566,0.4472,NA,0.3397,-0.4279,0.38116666666666665,1
QL-X-138,0.3565,NA,0.4221,NA,-0.4755,0.3893,2
Tegaserod,0.3561,0.5941,0.3692,NA,-0.4659,0.43979999999999997,1
SMR000108731,0.3559,NA,NA,0.3377,-0.6698,0.3468,2
"3-(6-Nitro-1,3-dioxo-1H-benzo[de]isoquinolin-2(3H)-yl)propanoic acid",0.3553,NA,0.5019,0.3999,-0.4315,0.4190333333333333,1
Lintitript,0.3552,NA,NA,0.4135,-0.3544,0.38434999999999997,2
MLS000108814,0.3551,0.3947,0.4211,NA,-0.3328,0.3903,1
Felodipine,0.3548,NA,0.3868,NA,-0.4159,0.3708,2
NSC409663,0.3547,0.518,0.4025,0.3654,-0.4758,0.41015,0
AC1L1E8W,0.3547,NA,0.5098,NA,-0.5027,0.43225,2
Ingenol Mebutate,0.3546,0.3292,0.6577,0.5404,-0.3259,0.470475,0
SPECTRUM1505167,0.3545,NA,NA,0.388,-0.4325,0.37124999999999997,2
BRD-K54636101,0.3538,NA,0.4758,0.3342,-0.6945,0.38793333333333335,1
PU-H-71,0.3533,NA,0.3612,0.3316,-0.3591,0.3487,1
T5715535,0.3527,NA,0.5278,0.36870000000000003,-0.4299,0.41640000000000005,1
BRD-U32049204,0.3524,NA,0.3877,NA,-0.433,0.37005,2
CHEMBL1910803,0.3524,NA,NA,0.3403,-0.4465,0.34635,2
Cyproheptadine,0.3522,0.394,NA,0.3524,-0.4154,0.3662,1
BRD-K41668190,0.3522,NA,0.3936,NA,-0.4205,0.3729,2
CHEMBL59836,0.3515,NA,0.3738,NA,-0.4547,0.36265000000000003,2
HG-5-88-01,0.3514,NA,0.3532,0.3384,-0.3347,0.3476666666666667,1
SUGA2_000514,0.3513,NA,0.3827,NA,-0.4459,0.367,2
CHEMBL2144678,0.3511,NA,NA,0.4086,-0.3384,0.37985,2
BRD-K96270963,0.3505,NA,NA,0.4692,-0.4313,0.40985,2
SMER28,0.3505,NA,0.7191,0.4451,-0.3688,0.5049,1
SA-1921456,0.3504,0.6395,NA,0.3895,-0.3211,0.4598,1
Ginsenoside RC,0.3504,NA,0.4099,0.3659,-0.5389,0.3754,1
Lenalidomide,0.3502,NA,0.4466,0.364,-0.3321,0.38693333333333335,1
BRD-K40963620,0.35,0.4259,NA,0.4187,-0.4094,0.3982,1
CHEMBL3188986,0.35,0.608,0.4088,0.3429,-0.3566,0.427425,0
CHEMBL1208118,0.3499,NA,0.4614,0.4037,-0.4196,0.40499999999999997,1
Naftopidil,0.3494,NA,NA,0.3567,-0.3682,0.35305,2
BRD-K36618611,0.349,NA,0.3941,0.3669,-0.3749,0.37,1
CHEMBL2354536,0.3488,NA,0.4792,0.3607,-0.3686,0.3962333333333333,1
BRD-K36959991,0.3484,NA,0.3776,NA,-0.4204,0.363,2
CHEMBL3181961,0.3484,NA,0.6277,NA,-0.6832,0.48805,2
BRD-K47342144-019-01-3,0.3479,NA,0.5653,0.3395,-0.6438,0.4175666666666667,1
CHEMBL2359019,0.3474,NA,0.3801,NA,-0.367,0.36375,2
CHEMBL3605602,0.3468,NA,0.4209,NA,-0.3244,0.38385,2
Antimycin A,0.3465,NA,0.5095,0.3539,-0.3331,0.4033,1
Febuxostat,0.3464,0.3849,NA,NA,-0.5476,0.36565000000000003,2
SMR000304369,0.3463,NA,0.5383,0.3834,-0.4561,0.4226666666666667,1
OM137,0.3461,0.3823,NA,NA,-0.5639,0.36419999999999997,2
Proscillaridin-A,0.3461,NA,0.4659,NA,-0.3327,0.406,2
SA-1462678,0.3459,NA,0.4756,0.3531,-0.4432,0.39153333333333334,1
BRD-K05684908,0.3459,NA,0.6475,NA,-0.4318,0.4967,2
BRD-K73945663,0.3454,0.3767,NA,NA,-0.4296,0.36105,2
Cinanserin,0.3454,NA,0.3406,NA,-0.3575,0.34299999999999997,2
Monastrol,0.3451,NA,0.4808,NA,-0.4095,0.41295000000000004,2
AZD5363,0.3449,NA,0.6373,0.5373,-0.4178,0.5065,1
CHEMBL1551506,0.3445,0.3924,0.3795,NA,-0.3498,0.3721333333333333,1
61364-37-2,0.3437,NA,NA,0.4739,-0.3287,0.4088,2
KN 62,0.3431,0.4277,0.4039,0.3992,-0.5561,0.393475,0
MLS002473639,0.3425,NA,0.5556,NA,-0.4394,0.44905,2
BRD-K69888333,0.3424,0.4763,NA,0.3385,-0.3316,0.3857333333333333,1
BRD-K08995965,0.3419,NA,0.3731,NA,-0.4863,0.3575,2
CHEMBL404099,0.3416,NA,0.4385,NA,-0.4968,0.39005,2
Aprepitant,0.3416,NA,0.324,NA,-0.3313,0.3328,2
BRD-K60636255,0.3413,NA,NA,0.3391,-0.5133,0.3402,2
Periplocymarin,0.341,0.339,NA,0.3397,-0.4266,0.33990000000000004,1
BI 78D3,0.3409,NA,0.3726,0.4478,-0.4167,0.3871,1
MLS003130041,0.3406,NA,0.4299,0.3496,-0.6013,0.3733666666666667,1
APD668,0.3404,NA,0.3883,NA,-0.4627,0.36434999999999995,2
BRD-K25300451,0.3402,NA,NA,0.3452,-0.4357,0.3427,2
TW 37,0.3401,0.3771,NA,NA,-0.3267,0.35860000000000003,2
Etilefrine,0.3395,NA,0.3958,0.3454,-0.3958,0.36023333333333335,1
BRD-K89266502,0.3394,NA,0.3907,NA,-0.4348,0.36505,2
CHEMBL2017783,0.3393,NA,0.3911,0.4193,-0.4452,0.3832333333333333,1
BRD-K56130969,0.3392,NA,0.6594,NA,-0.4735,0.49929999999999997,2
CHEMBL2140612,0.3391,NA,0.3623,NA,-0.5117,0.3507,2
Vincaleukoblastine,0.339,NA,0.3924,0.4502,-0.6184,0.3938666666666667,1
Heraclenol,0.3388,NA,0.4406,0.3302,-0.4311,0.3698666666666667,1
SA-1922975,0.3388,NA,0.4663,0.3529,-0.4204,0.386,1
Dropropizine,0.3381,NA,0.3897,NA,-0.589,0.3639,2
Digitoxigenin,0.3377,0.3627,0.4185,0.3435,-0.4851,0.36560000000000004,0
BRD-K29251608,0.3376,0.3273,NA,0.369,-0.3374,0.34463333333333335,1
BRD-K78524708,0.3371,0.4188,0.6548,0.3654,-0.4396,0.444025,0
Malotilate,0.3368,NA,0.5661,0.4695,-0.3225,0.4574666666666667,1
CHEMBL2002074,0.3363,NA,0.3852,0.3413,-0.5977,0.3542666666666667,1
O-2050,0.3362,NA,0.4276,0.3468,-0.3916,0.3702,1
MLS000394288,0.3361,NA,NA,0.3862,-0.3833,0.36114999999999997,2
KUC105208 KUC105208N,0.3352,0.352,0.3642,0.3503,-0.5519,0.350425,0
BRD-K57200229-001-01-6,0.3352,NA,0.7947,0.3267,-0.4588,0.4855333333333333,1
Apoptosis Activator II,0.3346,NA,0.4428,0.3549,-0.5453,0.37743333333333334,1
Propylpyrazoletriol,0.3345,0.5297,0.465,0.3801,-0.4831,0.427325,0
BG-1008,0.3345,0.3252,NA,NA,-0.5486,0.32985,2
"(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate",0.3344,0.5929,0.5831,0.3907,-0.3289,0.475275,0
Ibudilast,0.3337,NA,0.4146,NA,-0.3543,0.37415,2
AC1N08ZR,0.3335,NA,NA,0.3377,-0.3852,0.3356,2
CHEMBL2140610,0.3332,0.3757,0.3659,NA,-0.4017,0.3582666666666667,1
DICUMAROL,0.3332,NA,0.6665,NA,-0.4091,0.49985,2
BRD-K88318034,0.3327,NA,0.5271,NA,-0.3553,0.4299,2
Glycocholic acid,0.3323,NA,0.3823,NA,-0.4955,0.35729999999999995,2
CHEMBL3182088,0.3323,NA,NA,0.3436,-0.3301,0.33795,2
SCHEMBL11413072,0.3321,NA,NA,0.439,-0.6419,0.38555,2
Icillin,0.3321,NA,NA,0.5093,-0.4852,0.42069999999999996,2
BRD-K79797751,0.3321,NA,0.4712,NA,-0.623,0.40165,2
BRD-K96609736,0.332,NA,0.4106,0.3999,-0.4581,0.38083333333333336,1
114798-26-4,1,0.3443,0.4565,0.3902,-0.516,0.54775,0
PP-30,0.8724,0.4634,0.5699,0.4856,-0.4786,0.5978249999999999,0
DC-45-A2,0.8721,NA,0.4907,0.4273,-0.3663,0.5967,1
Felbinac,0.8696,NA,0.5273,0.4406,-0.4704,0.6125,1
Rosiglitazone,0.8563,0.4227,0.7122,0.637,-0.3222,0.65705,0
GF-109203,0.8486,0.4929,0.6506,0.7097,-0.3366,0.67545,0
naftidrofuryl,0.8384,NA,NA,0.4496,-0.3888,0.644,2
Prosteride,0.8369,NA,0.4492,0.3253,-0.5442,0.5371333333333334,1
PF-562271,0.8348,0.4084,0.6156,0.4695,-0.3218,0.582075,0
Triclosan,0.8343,NA,0.4544,0.3812,-0.3336,0.5566333333333333,1
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",0.8316,NA,NA,0.3457,-0.3406,0.58865,2
AG 14361,0.8281,NA,0.6628,0.446,-0.3321,0.6456333333333333,1
AZD-8055,0.8227,0.3747,0.6502,0.6047,-0.3265,0.613075,0
Entecavir,0.8211,NA,0.3651,NA,-0.4166,0.5931,2
Maprotiline,0.8204,0.6604,0.4405,0.4008,-0.3945,0.580525,0
Emtricitabine,0.8171,NA,0.3695,NA,-0.354,0.5933,2
Formoterol,0.8112,0.5229,0.4587,0.4043,-0.6227,0.549275,0
QS-11,0.7892,0.4343,0.4889,0.4195,-0.3393,0.532975,0
BRD-K07666543,0.7858,NA,0.4938,0.4707,-0.4242,0.5834333333333334,1
Wortmannin,0.7823,0.4592,0.7247,0.5363,-0.3235,0.625625,0
PHA-793887,0.7813,0.3678,0.5435,0.4469,-0.3216,0.534875,0
Palbociclib,0.7788,0.3779,0.4209,0.3532,-0.321,0.4827,0
ST014366,0.7764,NA,0.4973,0.3352,-0.5269,0.5363,1
AZD-1775,0.7762,0.415,0.5601,0.4723,-0.3213,0.5559000000000001,0
Nitrendipine,0.7749,NA,0.4289,0.4032,-0.5233,0.5356666666666667,1
Loperamide,0.7742,0.7139,0.3902,0.4807,-0.3278,0.58975,0
Dactolisib,0.774,0.3436,0.5267,0.5292,-0.3212,0.5433749999999999,0
Mitoxantrone,0.773,0.4165,0.6303,0.5908,-0.3257,0.60265,0
Skiii,0.7711,0.3749,0.4759,0.5483,-0.3212,0.54255,0
GDC-0980 (RG7422),0.7696,0.378,0.5859,0.7074,-0.3411,0.610225,0
PK-11195,0.7687,0.3826,0.498,0.5846,-0.3294,0.558475,0
PF-04217903,0.7679,0.3291,0.5245,0.5864,-0.4166,0.551975,0
SB705498,0.7675,NA,0.4566,0.36870000000000003,-0.4396,0.5309333333333334,1
CHEMBL399379,0.764,0.4229,0.5493,0.4486,-0.3264,0.5462,0
BRD-K18396390,0.7627,NA,0.3421,NA,-0.4651,0.5524,2
3-Deazaadenosine,0.7603,NA,0.4079,0.3854,-0.4099,0.5178666666666667,1
7-Nitroindazole,0.7602,NA,0.4389,0.419,-0.4287,0.5393666666666667,1
CGP 60474,0.76,NA,0.6187,0.4684,-0.3245,0.6157,1
COT-10B,0.757,0.5785,0.686,0.5025,-0.3315,0.631,0
Piplartine,0.7559,0.4525,0.5369,0.5437,-0.4469,0.57225,0
Ethacrynic acid,0.755,0.374,0.531,0.4443,-0.3425,0.526075,0
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.7539,NA,0.5887,0.5117,-0.3506,0.6181,1
AB01274770-01,0.7487,NA,0.5756,0.3728,-0.4153,0.5657,1
Vanoxerine,0.7484,0.4425,0.4787,0.3977,-0.3292,0.516825,0
BRD-K37299375,0.748,NA,NA,0.3716,-0.5559,0.5598,2
Dasatinib,0.7469,0.4259,0.5733,0.4582,-0.3219,0.551075,0
CEP-18770 (Delanzomib),0.7469,NA,NA,0.3239,-0.3259,0.5354,2
Triptolide (PG490),0.7461,NA,0.5958,NA,-0.4178,0.6709499999999999,2
MLN 2238,0.7455,0.325,0.6341,0.4545,-0.3224,0.539775,0
GSK-1070916,0.7423,0.5792,0.5668,0.539,-0.3429,0.606825,0
RG7388,0.7395,0.3515,0.4833,0.4107,-0.3334,0.49625,0
GSK 1059615,0.7389,0.3552,0.5551,0.5678,-0.3224,0.55425,0
179324-69-7,0.7388,0.3729,0.4444,0.5133,-0.321,0.51735,0
CHEMBL520231,0.7382,0.4001,0.5038,0.5813,-0.3471,0.55585,0
MLS000709026,0.7369,0.4059,0.3919,0.3866,-0.3333,0.480325,0
Navitoclax,0.7364,NA,0.4382,0.4755,-0.4273,0.5500333333333334,1
OTSSP167,0.7349,NA,0.6268,0.357,-0.3378,0.5729,1
MLS002391491,0.7347,NA,0.5371,NA,-0.4191,0.6359,2
PF431396,0.7338,0.3731,0.5921,0.4305,-0.3398,0.532375,0
BRD-K26119753,0.7333,0.3552,0.5258,0.4334,-0.325,0.511925,0
Phentolamine,0.7328,NA,NA,0.3893,-0.4598,0.56105,2
N-[(1-Ethylpyrrolidin-3-yl)methyl]-2-methoxy-5-sulfamoylbenzamide,0.7305,NA,0.5049,NA,-0.5995,0.6177,2
GSK 525762A,0.7302,0.5744,0.6677,0.5805,-0.3841,0.6382,0
Neratinib,0.7298,0.5889,0.5256,0.4808,-0.3294,0.581275,0
Lonidamine,0.7279,NA,0.5724,0.513,-0.3312,0.6044333333333334,1
BRD-K43540029,0.7265,NA,0.3868,0.3318,-0.4821,0.4817,1
Nilotinib,0.7262,0.345,0.5113,0.4451,-0.3498,0.5069,0
Carbamazepine,0.726,0.3829,0.6611,0.3972,-0.3693,0.5418000000000001,0
BSPBIO_001592,0.7253,0.4556,0.5358,0.3603,-0.5104,0.51925,0
Protriptyline,0.7252,0.5592,0.3989,0.3386,-0.555,0.505475,0
A-443654,0.7249,NA,0.5986,0.4376,-0.355,0.5870333333333333,1
LY-294002,0.7247,0.5146,0.6323,0.4978,-0.3237,0.5923499999999999,0
Foretinib,0.7239,0.4796,0.4721,0.6464,-0.3313,0.5805,0
AZD-8330,0.7234,0.449,0.551,0.4205,-0.322,0.535975,0
SU-11652,0.7229,0.3394,0.5214,0.4804,-0.3253,0.516025,0
CP-724714,0.7222,0.3342,0.5148,0.5377,-0.3216,0.5272249999999999,0
Ruxolitinib,0.7219,0.3468,0.5412,0.5034,-0.3384,0.5283249999999999,0
GSK-1904529A,0.7215,0.551,0.4911,0.4474,-0.3964,0.5527500000000001,0
Broad-Sai-296,0.7214,NA,0.3712,0.4355,-0.5162,0.5093666666666666,1
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.7213,0.4651,0.5755,0.559,-0.3232,0.580225,0
