compound,similarity,fda_status,threshold,disease,file
AC1LDBAO,-0.3773,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
THIOCTIC ACID,-0.3773,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K56990873,-0.3773,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
NSC25485,-0.3773,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
ACON1_002294,-0.3771,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K46574442,-0.377,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K51388814,-0.377,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Arachidonyl Trifluoromethylketone,-0.3769,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS001065903,-0.3769,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Dienogest,-0.3769,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Diphenidol,-0.3768,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K98710661,-0.3768,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Triacetylresveratrol,-0.3768,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
karakoline,-0.3768,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Rita,-0.3767,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Quinelorane,-0.3767,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K61520982,-0.3767,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL3182405,-0.3766,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Radezolid,-0.3766,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL2131985,-0.3765,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Acetaminophen,-0.3765,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Auranofin,-0.3765,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K54801580,-0.3765,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Letrozole,-0.3764,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Verteporfin,-0.3764,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K92134560,-0.3764,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K04617562,-0.3763,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Phthalylsulfathiazole,-0.3763,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K55113501-001-01-2,-0.3762,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
HEMICHOLINIUM-3,-0.3761,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
AC1NUE3V,-0.3761,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Norethynodrel,-0.3761,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K01700755,-0.3761,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
(S)-Tipifarnib,-0.376,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Alvimopan (monohydrate),-0.3758,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Sericetin,-0.3758,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Dopamine,-0.3758,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K01282863,-0.3758,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002607728,-0.3758,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K15410616,-0.3758,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Dapivirine (TMC120),-0.3757,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Aminoglutethimide,-0.3757,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Ercalcitriol,-0.3757,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002264419,-0.3757,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS000859112,-0.3756,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K45151011,-0.3756,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Naftifine,-0.3756,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Talnetant,-0.3754,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K83541009,-0.3754,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
bupivacaine,-0.3753,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Riboflavin,-0.3753,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-A77864279,-0.3753,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
ITK Inhibitor,-0.3753,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Parthenolide,-0.3753,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL19130,-0.3753,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K45231869,-0.3752,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K66566233,-0.3752,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Daph,-0.3752,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL565654,-0.3751,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
AC1NSM0X,-0.375,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Fenretinide,-0.375,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K46178029,-0.3749,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K35188965,-0.3748,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
PF-3084014,-0.3748,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
DL-Norepinephrine,-0.3747,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K02969269,-0.3747,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
W 5,-0.3747,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K03257659,-0.3746,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
AC1MVW5E,-0.3746,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
naftidrofuryl,-0.3746,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
VU0418939-2,-0.3745,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
UNII-U7RWT9J78O,-0.3744,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BG-STK33-59,-0.3744,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CID 6167421,-0.3744,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS001065845,-0.3744,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Harpagoside,-0.3743,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS003130223,-0.3743,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K20490522,-0.3742,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL2360495,-0.3742,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS003271342,-0.3742,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
"Triazolothiadiazine, 29",-0.3742,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
KUC103884,-0.3741,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Ezetimibe,-0.3741,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CID 46937243,-0.374,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Acetazolamide,-0.374,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SA-1457992,-0.374,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
F1061-0166,-0.3739,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K60679910,-0.3738,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Pimobendan,-0.3738,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K50761336,-0.3736,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
PK04_130213,-0.3736,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K40063896,-0.3736,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL2139763,-0.3735,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL2354415,-0.3734,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Dinaciclib,-0.3734,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
"5-(3,3-Dimethyl-2-oxobutoxy)-4-ethyl-7-methyl-2H-chromen-2-one",-0.3734,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Benproperine,-0.3734,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K45230579,-0.3733,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS001060813,-0.3733,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K91813753,-0.3732,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
ICI-204448,-0.3731,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MK-5108,-0.373,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Allopurinol,-0.373,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Paxilline,-0.3729,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K25485361,-0.3729,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
"2-(3,4-Dichlorophenyl)-2,3-dihydro-1,3-benzoxazole",-0.3729,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Alexidine,-0.3729,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Oligomycin C,-0.3729,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
LY2090314,-0.3728,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K30941218,-0.3728,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Naproxol,-0.3728,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
4-Deoxyuridine,-0.3727,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Tranylcypromine,-0.3727,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Ataluren,-0.3726,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
L701324,-0.3724,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K85200143,-0.3724,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
JWH-015,-0.3724,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K73716473,-0.3724,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Vicriviroc,-0.3724,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
KUC105999N,-0.3723,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K84651951,-0.3723,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K04627808,-0.3722,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Chaetocin,-0.3722,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
ATN-161 (trifluoroacetate salt),-0.3721,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Rotenone,-0.3721,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Broad-Sai-424,-0.372,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SA-1921617,-0.372,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K44495371-001-01-4,-0.3718,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K09641927,-0.3718,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Cefdinir,-0.3717,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K32323656,-0.3717,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Taltirelin,-0.3717,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002703112,-0.3716,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SAN1_003817,-0.3715,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SB-216763,-0.3715,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Bithionol,-0.3714,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Rabeprazole,-0.3714,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K82161520,-0.3713,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K00486725,-0.3713,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
AC1Q5RFA,-0.3713,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
9-Cis retinol,-0.371,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K40476324-001-01-6,-0.371,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BX471,-0.371,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
KUC104254,-0.371,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Alprostadil,-0.3709,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SPECTRUM_001092,-0.3708,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002415567,-0.3708,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K30160673-019-01-7,-0.3708,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
FTI276,-0.3708,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
VU0413807-2,-0.3707,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SA-1938757,-0.3707,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
PRX-08066 Maleic acid,-0.3706,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL214378,-0.3706,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL1900088,-0.3705,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
17952-87-3,-0.3704,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002415569,-0.3704,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SMR000002300,-0.3703,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
STK865973,-0.3703,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K26381032,-0.3703,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Lanatoside-C,-0.3703,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Pifithrin,-0.3703,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K03289154,-0.3702,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Diphenylpyraline,-0.3701,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Pyrazolanthrone,-0.3701,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Vinblastine,-0.37,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS003429131,-0.37,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Eicosatrienoic acid (20:3 n-3),-0.37,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SA-1920080,-0.37,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Chlorprothixene,-0.37,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Chlorambucil,-0.3699,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Galeterone,-0.3699,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Artesunate,-0.3698,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Flutamide,-0.3698,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL1083527,-0.3698,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS003129264,-0.3697,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL2001494,-0.3697,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Granisetron,-0.3697,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
PF-03814735,-0.3697,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
GSK 3BETA Inhibitor VIII,-0.3696,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Acetylcysteine,-0.3696,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Tacrine,-0.3696,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K49553303-001-01-8,-0.3696,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K97489107,-0.3696,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
N-Formylmethionylalanine,-0.3695,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
SPECTRUM_000715,-0.3695,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRL54443,-0.3694,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
TW 37,-0.3694,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Pindolol,-0.3694,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K67794838,-0.3694,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Dacarbazine,-0.3693,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K01739339,-0.3693,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K20352452,-0.3692,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K19198293,-0.3692,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
"1,3(2H,9bh)-Dibenzofurandione, 2,6-diacetyl-7,9-dihydroxy-8,9b-dimethyl-,(9bs)-",-0.3692,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Orthothymotinic acid,-0.3692,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CHEMBL3182318,-0.3692,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K02544880,-0.3692,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Thiocolchicoside,-0.3691,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
CID-2858522,-0.3691,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
ALD1-H_001128,-0.3691,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K96433222-001-01-3,-0.3691,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K76938712,-0.369,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K81408913,-0.369,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K51583960,-0.369,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
(R)-(-)-Jq1 enantiomer,-0.3689,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Betahistine,-0.3689,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
Emetine,-0.3688,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
MLS002276503,-0.3688,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
sn-Glycero-3-phosphocholine,-0.3688,fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
BRD-K47804338,-0.3688,non_fda,0.85,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0.85-consensus.tsv
